#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
13000,25.99999999999647,-43616.98730203165,6564.77218545807,-37052.215116573585,294.22791543283984,27.0,0.9916318011950421
13100,26.199999999996358,-43806.186223235265,6810.275994783492,-36995.91022845177,305.23120267693474,27.0,0.9916318011950421
13200,26.399999999996247,-43742.93804856791,6763.018567853379,-36979.919480714525,303.11316204710647,27.0,0.9916318011950421
13300,26.599999999996136,-44099.96063634409,7028.661235657338,-37071.29940068675,315.0190570560927,27.0,0.9916318011950421
13400,26.799999999996025,-43713.339452948705,6736.9120485637895,-36976.427404384915,301.9430884279795,27.0,0.9916318011950421
13500,26.999999999995914,-44046.40261289133,6823.517641949954,-37222.88497094138,305.8246828667448,27.0,0.9916318011950421
13600,27.199999999995804,-43671.063980307714,6562.778400832276,-37108.285579475436,294.1385555772809,27.0,0.9916318011950421
13700,27.399999999995693,-43852.16348287119,6800.445395361348,-37051.71808750984,304.79060295866276,27.0,0.9916318011950421
13800,27.599999999995582,-43878.27893182291,6711.469878777309,-37166.8090530456,300.80279042998546,27.0,0.9916318011950421
13900,27.79999999999547,-43983.060092177526,6812.428159902438,-37170.631932275086,305.3276610213717,27.0,0.9916318011950421
14000,27.99999999999536,-43834.31115075602,6843.925667460277,-36990.385483295744,306.7393544858611,27.0,0.9916318011950421
14100,28.19999999999525,-43736.62430306925,6684.680113899964,-37051.944189169284,299.6020942821043,27.0,0.9916318011950421
14200,28.39999999999514,-43997.265987601415,6840.5205659268395,-37156.745421674575,306.58674051880837,27.0,0.9916318011950421
14300,28.599999999995028,-44073.43733808054,6767.437731171903,-37305.99960690864,303.31122546415037,27.0,0.9916318011950421
14400,28.799999999994917,-44083.02819940104,6858.952737836646,-37224.07546156439,307.4128559367866,27.0,0.9916318011950421
14500,28.999999999994806,-44093.9170992042,6792.600918300922,-37301.316180903275,304.43901967931265,27.0,0.9916318011950421
14600,29.199999999994695,-44175.48907968058,6818.254151040641,-37357.23492863994,305.5887773525249,27.0,0.9916318011950421
14700,29.399999999994584,-43975.025181021825,6595.668116167454,-37379.35706485437,295.6126466971046,27.0,0.9916318011950421
14800,29.599999999994473,-43911.38298436655,6553.939625288027,-37357.44335907853,293.74240862352616,27.0,0.9916318011950421
14900,29.799999999994363,-44181.99777814402,6753.351921962221,-37428.6458561818,302.6799105968759,27.0,0.9916318011950421
15000,29.99999999999425,-44045.15949126734,6618.189869603527,-37426.96962166381,296.62205393595235,27.0,0.9916318011950421
15100,30.19999999999414,-43881.31294557108,6513.568500531243,-37367.74444503984,291.93300662977845,27.0,0.9916318011950421
15200,30.39999999999403,-44154.31534692301,6846.672568503791,-37307.64277841922,306.86246842570563,27.0,0.9916318011950421
15300,30.59999999999392,-44163.60744306101,6695.882908953126,-37467.72453410788,300.1041947270847,27.0,0.9916318011950421
15400,30.79999999999381,-44274.70955869211,6713.112275749573,-37561.59728294254,300.87640136785365,27.0,0.9916318011950421
15500,30.999999999993697,-44167.70969029917,6556.627139341441,-37611.082550957726,293.8628608852793,27.0,0.9916318011950421
15600,31.199999999993587,-43831.63062592997,6361.884223159488,-37469.74640277048,285.1346368654948,27.0,0.9916318011950421
15700,31.399999999993476,-44034.372313704625,6568.724334362358,-37465.64797934227,294.4050476319075,27.0,0.9916318011950421
15800,31.599999999993365,-44036.79864236368,6583.423170013519,-37453.37547235016,295.06383786114213,27.0,0.9916318011950421
15900,31.799999999993254,-43943.422286238805,6544.985761282144,-37398.43652495666,293.34110349562616,27.0,0.9916318011950421
16000,31.999999999993143,-44081.18392583384,6651.444399146135,-37429.7395266877,298.1124957410306,27.0,0.9916318011950421
16100,32.19999999999339,-44150.47416039957,6677.0138144283355,-37473.46034597124,299.2584967818563,27.0,0.9916318011950421
16200,32.39999999999363,-44118.80488606943,6641.080398853396,-37477.72448721604,297.6479894161298,27.0,0.9916318011950421
16300,32.59999999999388,-43888.98084374918,6632.404885108516,-37256.575958640664,297.25915972755064,27.0,0.9916318011950421
16400,32.79999999999412,-43878.949673857824,6612.921378803625,-37266.0282950542,296.38592433057687,27.0,0.9916318011950421
16500,32.999999999994365,-44075.38041230692,6741.396875387,-37333.98353691992,302.1440948315518,27.0,0.9916318011950421
16600,33.19999999999461,-43777.1775257255,6462.894926466759,-37314.28259925874,289.66185697776893,27.0,0.9916318011950421
16700,33.399999999994854,-43917.94996663584,6647.524637206069,-37270.42532942977,297.93681510017404,27.0,0.9916318011950421
16800,33.5999999999951,-43917.902218070165,6606.907595438786,-37310.99462263138,296.11639129983126,27.0,0.9916318011950421
16900,33.79999999999534,-43841.525660720006,6529.35190268699,-37312.173758033015,292.64040627496496,27.0,0.9916318011950421
17000,33.99999999999559,-44036.99015542521,6673.625595589467,-37363.36455983574,299.1066394838682,27.0,0.9916318011950421
17100,34.19999999999583,-43931.90853616251,6716.178986552739,-37215.72954960977,301.0138489290728,27.0,0.9916318011950421
17200,34.399999999996076,-43932.173808303014,6833.247956910753,-37098.92585139226,306.2607879144969,27.0,0.9916318011950421
17300,34.59999999999632,-43706.02662202372,6582.693452432086,-37123.33316959163,295.0311324942575,27.0,0.9916318011950421
17400,34.799999999996565,-43981.36907502665,6815.651332200584,-37165.71774282606,305.4721210634833,27.0,0.9916318011950421
17500,34.99999999999681,-43675.98510095133,6569.845570891687,-37106.13953005964,294.45530056946757,27.0,0.9916318011950421
17600,35.199999999997054,-43912.14526769175,6661.986268455508,-37250.15899923624,298.58497401507236,27.0,0.9916318011950421
17700,35.3999999999973,-43843.89614602579,6582.319679878224,-37261.57646614757,295.0143803029762,27.0,0.9916318011950421
17800,35.59999999999754,-43985.699119773046,6644.890142079945,-37340.8089776931,297.81873910495597,27.0,0.9916318011950421
17900,35.79999999999779,-44024.2899715568,6678.865044882843,-37345.42492667396,299.34146747180984,27.0,0.9916318011950421
18000,35.99999999999803,-44142.751723494664,6773.749905370719,-37369.00181812394,303.59413213690294,27.0,0.9916318011950421
18100,36.199999999998276,-44141.74800416483,6887.685461135055,-37254.06254302977,308.7006339497886,27.0,0.9916318011950421
18200,36.39999999999852,-43883.60821458353,6588.738348815601,-37294.869865767934,295.302059985979,27.0,0.9916318011950421
18300,36.599999999998765,-43919.07882424845,6684.064391037771,-37235.01443321068,299.57449806869283,27.0,0.9916318011950421
18400,36.79999999999901,-44092.84654256357,6893.393000060779,-37199.45354250279,308.9564413461347,27.0,0.9916318011950421
18500,36.999999999999254,-44097.75602170481,6776.0026525209805,-37321.753369183825,303.6950984887113,27.0,0.9916318011950421
18600,37.1999999999995,-43911.82075330271,6594.079982739404,-37317.74077056331,295.54146780852113,27.0,0.9916318011950421
18700,37.39999999999974,-44001.81282350077,6676.7669056359055,-37325.04591786486,299.24743052437674,27.0,0.9916318011950421
18800,37.59999999999999,-44019.553172316686,6591.966106576406,-37427.58706574028,295.44672554491297,27.0,0.9916318011950421
18900,37.80000000000023,-44132.796435561315,6664.930378249228,-37467.86605731209,298.71692669567415,27.0,0.9916318011950421
19000,38.000000000000476,-44208.89110871805,6786.908619115597,-37421.98248960246,304.18389531612024,27.0,0.9916318011950421
19100,38.20000000000072,-44348.371073928014,6727.363523388404,-37621.00755053961,301.51513105513493,27.0,0.9916318011950421
19200,38.400000000000965,-44201.61574384226,6484.595136892895,-37717.020606949365,290.63444330639726,27.0,0.9916318011950421
19300,38.60000000000121,-44240.26658746256,6543.449789569906,-37696.81679789265,293.27226245403494,27.0,0.9916318011950421
19400,38.800000000001454,-44439.1378690864,6767.264709684082,-37671.87315940232,303.30347077743033,27.0,0.9916318011950421
19500,39.0000000000017,-44197.8261005546,6564.434978694267,-37633.39112186033,294.2128020914502,27.0,0.9916318011950421
19600,39.20000000000194,-44043.279966559545,6479.898932677242,-37563.3810338823,290.4239631346893,27.0,0.9916318011950421
19700,39.40000000000219,-44102.645793166295,6543.254543019422,-37559.39125014687,293.26351165752266,27.0,0.9916318011950421
19800,39.60000000000243,-44142.08035394205,6716.085039237145,-37425.99531470491,301.009638284431,27.0,0.9916318011950421
19900,39.800000000002676,-44096.412017073766,6624.352272435903,-37472.05974463787,296.89824797410097,27.0,0.9916318011950421
20000,40.00000000000292,-44152.83586522593,6553.408527087703,-37599.42733813822,293.7186052207642,27.0,0.9916318011950421
20100,40.200000000003165,-43858.03184815897,6523.476566819454,-37334.55528133952,292.3770783519333,27.0,0.9916318011950421
20200,40.40000000000341,-44048.183755126134,6749.141071805883,-37299.04268332025,302.4911836115826,27.0,0.9916318011950421
20300,40.600000000003654,-44003.56417581095,6737.165360206216,-37266.398815604734,301.9544416561495,27.0,0.9916318011950421
20400,40.8000000000039,-43905.52597543253,6601.681620077045,-37303.84435535548,295.8821672028863,27.0,0.9916318011950421
20500,41.00000000000414,-43952.382344451085,6591.733849071168,-37360.648495379915,295.4363159465782,27.0,0.9916318011950421
20600,41.20000000000439,-43893.789703574315,6541.125604053164,-37352.66409952115,293.16809429094394,27.0,0.9916318011950421
20700,41.40000000000463,-43990.81951924814,6567.00808371257,-37423.81143553557,294.3281266304193,27.0,0.9916318011950421
20800,41.600000000004876,-44229.35568067087,6851.554042198005,-37377.80163847287,307.08125222942544,27.0,0.9916318011950421
20900,41.80000000000512,-43932.02730676188,6570.797111638037,-37361.23019512384,294.4979478757774,27.0,0.9916318011950421
21000,42.000000000005365,-44021.94436570658,6782.657832267059,-37239.28653343952,303.99337839975794,27.0,0.9916318011950421
21100,42.20000000000561,-44047.19519158854,6783.420642907433,-37263.7745486811,304.02756697146253,27.0,0.9916318011950421
21200,42.40000000000585,-43834.9619838859,6732.4506944597815,-37102.51128942612,301.7431340531822,27.0,0.9916318011950421
21300,42.6000000000061,-43970.47528382792,6722.890342589117,-37247.5849412388,301.3146466171762,27.0,0.9916318011950421
21400,42.80000000000634,-44061.54660531534,6957.082004121314,-37104.46460119403,311.81093231266584,27.0,0.9916318011950421
21500,43.00000000000659,-43928.40585443033,6829.416832877194,-37098.98902155314,306.0890799547514,27.0,0.9916318011950421
21600,43.20000000000683,-43838.09500905527,6653.85588035451,-37184.23912870076,298.22057642821994,27.0,0.9916318011950421
21700,43.400000000007076,-43788.06266232981,6587.1153167996545,-37200.947345530156,295.2293169701908,27.0,0.9916318011950421
21800,43.60000000000732,-43922.42280265345,6714.975519322106,-37207.44728333134,300.9599104762892,27.0,0.9916318011950421
21900,43.800000000007564,-43781.01854249491,6782.34791182987,-36998.67063066504,303.9794880100219,27.0,0.9916318011950421
22000,44.00000000000781,-43811.76487943186,6817.201503975922,-36994.56337545594,305.54159854071105,27.0,0.9916318011950421
22100,44.20000000000805,-43871.00002786173,6743.60519515158,-37127.39483271015,302.24306998294867,27.0,0.9916318011950421
22200,44.4000000000083,-43715.027405944005,6629.4159774050195,-37085.611428538985,297.1251992399394,27.0,0.9916318011950421
22300,44.60000000000854,-43773.67988130106,6683.448878242915,-37090.23100305814,299.5469112703339,27.0,0.9916318011950421
22400,44.80000000000879,-43683.60965463175,6719.494097686615,-36964.11555694514,301.1624295973417,27.0,0.9916318011950421
22500,45.00000000000903,-43696.07900544657,6596.963402326448,-37099.115603120124,295.67070040189174,27.0,0.9916318011950421
22600,45.200000000009275,-43646.549136843816,6636.204125339605,-37010.345011504214,297.42943868039805,27.0,0.9916318011950421
22700,45.40000000000952,-43991.95163461222,6861.850671659066,-37130.100962953155,307.54273904674767,27.0,0.9916318011950421
22800,45.600000000009764,-43763.50926705851,6766.896840930634,-36996.612426127875,303.28698318983066,27.0,0.9916318011950421
22900,45.80000000001001,-43709.981995787755,6774.845007333321,-36935.13698845443,303.64321374377977,27.0,0.9916318011950421
23000,46.00000000001025,-43891.81428834452,6888.141449854966,-37003.672838489554,308.7210710048348,27.0,0.9916318011950421
23100,46.2000000000105,-43732.439236846105,6683.755048573255,-37048.68418827285,299.56063358323655,27.0,0.9916318011950421
23200,46.40000000001074,-43968.30449410929,6653.677708186654,-37314.626785922635,298.21259089208013,27.0,0.9916318011950421
23300,46.600000000010986,-43829.65947553171,6547.889940001929,-37281.769535529784,293.4712664969652,27.0,0.9916318011950421
23400,46.80000000001123,-43873.039334502355,6704.642640231582,-37168.39669427077,300.496798979144,27.0,0.9916318011950421
23500,47.000000000011475,-43794.106918540136,6646.027853606836,-37148.0790649333,297.86973043892226,27.0,0.9916318011950421
23600,47.20000000001172,-43881.34189340128,6423.321243997835,-37458.02064940344,287.88819571887177,27.0,0.9916318011950421
