#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
8900,17.800000000001013,-43589.38045617594,6928.960476651825,-36660.419979524115,310.55054761501196,27.0,0.9916318011950421
9000,18.000000000000902,-43548.92213746561,6763.7276742692975,-36785.19446319631,303.14494363779716,27.0,0.9916318011950421
9100,18.20000000000079,-43810.38388463511,6682.600565649368,-37127.78331898574,299.508890568475,27.0,0.9916318011950421
9200,18.40000000000068,-43906.585645880834,6849.125476977517,-37057.460168903315,306.97240585027777,27.0,0.9916318011950421
9300,18.60000000000057,-43806.007881369726,6878.756409635238,-36927.25147173449,308.3004408988548,27.0,0.9916318011950421
9400,18.80000000000046,-43691.91970178141,6802.090874916533,-36889.828826864876,304.864352055468,27.0,0.9916318011950421
9500,19.000000000000348,-43690.97852822794,6546.22629862925,-37144.75222959869,293.3967034018139,27.0,0.9916318011950421
9600,19.200000000000237,-43707.6852638389,6670.802522004294,-37036.88274183461,298.98011155074073,27.0,0.9916318011950421
9700,19.400000000000126,-43738.311307158605,6659.282506531019,-37079.02880062759,298.46379353654305,27.0,0.9916318011950421
9800,19.600000000000016,-43754.19416734232,6542.28859575966,-37211.90557158266,293.22021866263594,27.0,0.9916318011950421
9900,19.799999999999905,-43806.20072289957,6844.501273842603,-36961.69944905697,306.76515271026204,27.0,0.9916318011950421
10000,19.999999999999794,-43938.42810937418,6829.957227254028,-37108.47088212015,306.1133000048181,27.0,0.9916318011950421
10100,20.199999999999683,-43973.38360187067,6956.1849538700635,-37017.19864800061,311.77072722740047,27.0,0.9916318011950421
10200,20.399999999999572,-43986.89579602732,6831.2636185261545,-37155.63217750116,306.1718514320235,27.0,0.9916318011950421
10300,20.59999999999946,-43899.34384557261,6625.022937442736,-37274.32090812987,296.9283066511335,27.0,0.9916318011950421
10400,20.79999999999935,-43977.733082976476,6812.413705829956,-37165.31937714652,305.32701320123476,27.0,0.9916318011950421
10500,20.99999999999924,-44071.975411620275,6867.564473873062,-37204.41093774721,307.7988271587379,27.0,0.9916318011950421
10600,21.19999999999913,-43966.85104486002,6826.178812487975,-37140.672232372046,305.9439544329002,27.0,0.9916318011950421
10700,21.399999999999018,-44101.0682212974,6826.069197432487,-37274.99902386491,305.9390415725046,27.0,0.9916318011950421
10800,21.599999999998907,-44001.19731828226,6793.432410590547,-37207.764907691715,304.4762865084064,27.0,0.9916318011950421
10900,21.799999999998796,-44197.34060880198,6763.452372994911,-37433.88823580707,303.1326048516534,27.0,0.9916318011950421
11000,21.999999999998685,-44031.553382125036,6844.657896903554,-37186.89548522148,306.7721724324139,27.0,0.9916318011950421
11100,22.199999999998575,-44118.17812081827,6809.854157805659,-37308.32396301261,305.2122962760523,27.0,0.9916318011950421
11200,22.399999999998464,-43697.81879350199,6593.915771441811,-37103.90302206018,295.5341079875835,27.0,0.9916318011950421
11300,22.599999999998353,-43935.213931288854,6762.217811567999,-37172.996119720854,303.07727278149895,27.0,0.9916318011950421
11400,22.799999999998242,-43917.733391966955,6665.9215309867095,-37251.81186098025,298.761349380207,27.0,0.9916318011950421
11500,22.99999999999813,-43971.428117003576,6636.154243184704,-37335.27387381887,297.4272030015293,27.0,0.9916318011950421
11600,23.19999999999802,-44036.84932729258,6638.370395228749,-37398.47893206383,297.52652918951884,27.0,0.9916318011950421
11700,23.39999999999791,-43996.82728311075,6667.252184056786,-37329.57509905397,298.8209882020751,27.0,0.9916318011950421
11800,23.5999999999978,-43907.82802983774,6712.8586075243375,-37194.96942231341,300.86503215792317,27.0,0.9916318011950421
11900,23.799999999997688,-43929.450982298986,6786.171435893516,-37143.27954640547,304.15085534510564,27.0,0.9916318011950421
12000,23.999999999997577,-43813.292054381505,6706.325978364016,-37106.96607601749,300.57224486754393,27.0,0.9916318011950421
12100,24.199999999997466,-43780.69306966318,6797.694155731328,-36982.99891393186,304.6672945667904,27.0,0.9916318011950421
12200,24.399999999997355,-43792.13613435282,6704.622619772574,-37087.51351458025,300.4959016779501,27.0,0.9916318011950421
12300,24.599999999997245,-43518.3803684379,6775.223769521817,-36743.15659891609,303.6601895665529,27.0,0.9916318011950421
12400,24.799999999997134,-43526.27264520182,6638.688877150181,-36887.583768051634,297.540803298231,27.0,0.9916318011950421
12500,24.999999999997023,-43709.99800225748,6890.735247968887,-36819.2627542886,308.8373229920406,27.0,0.9916318011950421
12600,25.199999999996912,-43449.380357947484,6760.953950947655,-36688.42640699983,303.0206275445865,27.0,0.9916318011950421
